Descriptor,Values
SlogP_VSA8,0.07970276831768874
SlogP_VSA10,0.023030767344526915
SlogP_VSA11,0.022086030556861425
EState_VSA1,-0.000401578087150245
EState_VSA2,0.012957091657282982
EState_VSA3,0.006955534041827027
EState_VSA4,0.02581878450576003
EState_VSA5,0.007656220685045678
EState_VSA6,0.021482883865198588
EState_VSA7,0.02658625758421973
EState_VSA8,0.031495926469038205
EState_VSA9,0.012038029539788386
EState_VSA10,0.004489711130816532
VSA_EState1,0.0028649932226471053
VSA_EState2,0.028951345689260055
VSA_EState3,0.02656202495345905
VSA_EState4,0.020931033280170652
VSA_EState5,0.01493816429188577
VSA_EState6,0.02299676173202103
VSA_EState7,0.031400440130273655
VSA_EState8,0.019049877019018613
VSA_EState9,0.021016297735180878
MDEC-22,0.01801852601874554
MDEC-23,0.026074097118181427
MDEC-33,0.012279243508276583
MPC2,0.013324653290240462
MPC3,0.011764290760341911
MPC4,0.010497043768136205
MPC5,0.009141374997268858
MPC6,0.008227697650176058
MPC7,0.007448229741261692
MPC8,0.006684136224750947
MPC9,0.005999327530870069
MPC10,0.005576651810012656
TMPC10,0.006493345163423925
piPC1,0.028536978034047866
piPC2,0.03619132228115962
piPC3,0.0357542111494773
piPC4,0.03172380293574495
piPC5,0.02778586940235872
piPC6,0.025473545845596135
piPC7,0.025885428837852942
piPC8,0.02741747386166704
piPC9,0.0277909563561769
piPC10,0.02828417727405963
TpiPC10,0.026482989067347695
apol,0.012948790813256394
bpol,0.016133490842134446
nRing,0.02109130342444665
n6Ring,0.03882910865705158
nHRing,0.09983358833866962
n5HRing,0.03361400623706823
n6HRing,0.06935507617238423
naRing,0.12470692544087392
n6aRing,0.07537322915050648
naHRing,0.1913714553343815
n5aHRing,0.03923282487518698
n6aHRing,0.12889049896875537
n3ARing,-0.0002979425656573567
nAHRing,0.02479748933779491
n5AHRing,0.02468357182368508
n6AHRing,0.016592429738740977
nFHRing,0.08235585290247505
n9FHRing,0.0393876326314373
nFaHRing,0.06312397159538907
n9FaHRing,0.12264690747284801
n10FaHRing,0.06574500571016806
nFAHRing,0.02695271853099912
n8FAHRing,0.028853720151416296
n9FAHRing,0.013047688403432012
n12FAHRing,
nG12FAHRing,0.001282729538857691
nRot,0.024725851947037913
RotRatio,0.03602462289628905
SLogP,0.020421789115077527
SMR,0.014360120276096566
TopoPSA(NO),0.02774881818427355
TopoPSA,0.024117190383050602
GGI1,0.010538936359319795
GGI2,0.010952112763306321
GGI3,0.01036113091818125
GGI4,0.01648876376567987
GGI5,0.016325783371703206
GGI6,0.012997902870655498
GGI7,0.027740914290111718
GGI8,0.014122271608295378
GGI9,0.016823850002975593
GGI10,0.00619798664123139
JGI1,0.02486603036771262
JGI2,0.027860027956454037
JGI3,0.022159625633399127
JGI4,0.06007817118815462
JGI5,0.05060994199659863
JGI6,0.036637436226663045
JGI7,0.03654505521285323
JGI8,0.034143733170941104
JGI9,0.03672309681012553
JGI10,0.019502976579615083
JGT10,0.040752446755470295
Radius,-0.0011862329443651232
TopoShapeIndex,0.06484937576036032
PetitjeanIndex,0.052073417021007984
Vabc,0.012004762858886409
VAdjMat,0.019601521320138815
MWC01,0.013627408711513578
MWC02,0.019453663405866184
MWC03,0.020219340164964628
MWC04,0.018605009414089047
MWC05,0.016886044143397783
MWC06,0.01605127351322544
MWC07,0.015705272499959122
MWC08,0.015635546345784235
MWC09,0.015850927100943046
MWC10,0.016073663397281557
TMWC10,0.013539773169195524
SRW02,0.019500011984161958
SRW03,-0.0002979425656573567
SRW04,0.019527864990482424
SRW05,0.07624303391899279
SRW06,0.019303330502854266
SRW07,0.15204442797674567
SRW08,0.016337905192468583
SRW09,0.1688649806702207
SRW10,0.014872631380366208
TSRW10,0.03425754057799324
MW,0.0082449733083938
AMW,0.007395560361011189
WPath,-0.0011862212190931684
WPol,0.010016538358944782
Zagreb1,0.013312896488837378
Zagreb2,0.014027519273421607
mZagreb2,0.012492067501597592
